3374,1819,3527,1819,3527,1892,3374,1892,
3049,1888,3049,1819,3365,1819,3365,1888,
2905,1899,2905,1810,3035,1810,3035,1899,
2222,1876,2225,1804,2426,1811,2424,1882,
2082,1883,2082,1798,2208,1798,2208,1883,
1454,1883,1454,1798,1547,1798,1547,1883,
469,1872,469,1792,640,1792,640,1872,
1227,1872,1227,1789,1381,1789,1381,1872,
1784,1871,1786,1784,1999,1789,1997,1876,
1578,1787,1755,1783,1757,1873,1580,1877,
816,1874,816,1780,999,1780,999,1874,
1019,1872,1019,1773,1143,1773,1143,1872,
663,1872,663,1773,784,1773,784,1872,
2076,1707,2078,1533,2478,1537,2477,1710,
2505,1720,2508,1530,2777,1534,2774,1724,
599,1513,866,1513,866,1705,599,1705,
1762,1718,1762,1476,2062,1476,2062,1718,
2789,1728,2789,1483,2981,1483,2981,1728,
1511,1716,1511,1469,1758,1469,1758,1716,
882,1707,888,1463,1154,1470,1147,1714,
2984,1733,2989,1447,3331,1452,3327,1739,
3342,1737,3342,1437,3698,1437,3698,1737,
1161,1737,1161,1421,1493,1421,1493,1737,
2366,1353,2372,1033,3195,1048,3189,1369,
1105,1331,1117,959,2237,993,2225,1366,
