1106,946,1106,934,1131,934,1131,946,
1089,945,1089,933,1103,933,1103,945,
940,841,980,841,980,852,940,852,
1080,839,1123,839,1123,854,1080,854,
1053,855,1053,839,1076,839,1076,855,
1007,839,1049,839,1049,853,1007,853,
1128,854,1128,837,1173,837,1173,854,
986,853,986,839,1002,839,1002,853,
1177,854,1177,833,1221,833,1221,854,
1172,676,1252,664,1276,826,1196,838,
1035,580,1035,564,1063,564,1063,580,
1031,483,1069,483,1069,496,1031,496,
1127,479,1189,478,1189,492,1127,493,
1072,494,1072,479,1121,479,1121,494,
1197,491,1197,478,1250,478,1250,491,
1256,490,1256,474,1278,474,1278,490,
1139,407,1268,404,1269,450,1140,452,
34,357,70,351,72,363,36,369,
703,329,789,327,790,342,704,345,
796,323,877,321,877,339,796,342,
895,322,978,318,978,333,896,337,
982,317,1026,314,1028,332,983,335,
404,300,479,300,479,328,404,328,
275,330,276,298,392,300,392,333,
116,316,130,297,160,320,147,339,
487,327,487,289,545,289,545,327,
567,290,601,286,604,318,570,321,
693,284,749,283,750,317,694,319,
628,287,666,284,668,315,631,318,
94,303,103,284,127,296,118,315,
753,284,795,281,798,309,755,312,
799,282,877,279,878,308,800,311,
886,277,966,273,967,300,887,304,
81,300,81,276,100,276,100,300,
100,269,106,259,134,277,127,286,
87,265,92,254,107,261,101,272,
274,211,437,211,437,290,274,290,
1130,199,1252,194,1255,255,1133,260,
463,188,650,180,653,263,466,271,
681,159,952,139,960,247,689,267,
1254,189,1254,158,1284,158,1284,189,
237,143,315,136,317,161,239,168,
460,135,475,135,475,148,460,148,
633,142,633,130,649,130,649,142,
487,154,487,122,554,122,554,154,
362,120,450,118,451,154,363,156,
562,117,627,114,629,150,564,154,
658,107,737,102,741,153,662,159,
767,108,863,101,866,141,769,148,
1159,71,1276,63,1282,152,1165,160,
