469,347,583,347,583,362,469,362,
368,361,368,346,472,346,472,361,
184,358,184,346,259,346,259,358,
263,360,263,346,304,346,304,360,
114,360,114,345,175,345,175,360,
309,361,309,344,359,344,359,361,
11,341,101,332,104,361,14,369,
162,315,162,302,213,303,213,317,
472,302,522,301,523,312,473,313,
49,302,100,300,101,312,49,314,
293,293,344,292,344,304,294,305,
176,302,176,291,203,291,203,302,
373,294,422,289,424,301,374,307,
482,300,482,288,510,288,510,300,
60,289,87,288,88,299,60,300,
381,281,407,278,408,289,383,292,
304,278,333,277,333,290,304,291,
30,133,30,123,90,123,90,133,
579,137,579,120,600,120,600,137,
460,134,460,119,483,119,483,134,
429,133,429,120,457,120,457,133,
507,134,507,118,535,118,535,134,
486,133,486,117,503,117,503,133,
301,118,301,107,345,107,345,118,
349,120,349,105,363,105,363,120,
392,118,392,103,421,103,421,118,
365,118,365,103,388,103,388,118,
155,61,212,60,213,81,156,82,
124,80,152,0,401,58,373,153,
56,10,108,8,109,30,57,32,
