411,274,478,272,478,286,411,287,
356,272,412,269,413,289,357,292,
304,288,305,269,352,271,351,289,
146,269,146,263,158,263,158,269,
117,269,117,263,143,263,143,269,
411,269,411,262,428,262,428,269,
392,262,408,262,408,269,392,269,
381,269,381,261,390,261,390,269,
373,268,375,260,383,262,381,270,
354,261,373,260,373,268,354,268,
68,264,69,250,101,252,100,265,
409,259,409,252,426,252,426,259,
369,259,369,252,381,252,381,259,
393,260,393,251,408,251,408,260,
352,251,369,251,369,259,352,259,
291,267,291,247,347,247,347,267,
383,259,383,250,392,250,392,259,
189,267,189,245,234,245,234,267,
157,261,158,245,186,245,185,262,
236,268,236,243,263,243,263,268,
128,259,129,242,157,243,156,260,
105,260,105,241,128,241,128,260,
396,249,396,242,417,244,416,251,
382,249,382,242,396,242,396,249,
359,249,359,242,381,242,381,249,
193,232,193,222,213,222,213,232,
132,230,132,220,186,221,186,231,
81,232,81,218,126,218,126,232,
375,210,375,202,420,202,420,210,
346,209,346,201,373,201,373,210,
322,212,322,198,344,198,344,212,
305,210,305,198,321,198,321,210,
279,211,280,197,305,197,304,212,
255,210,255,198,279,198,279,210,
191,207,192,197,226,198,225,208,
238,196,253,196,253,208,238,208,
227,196,237,195,238,208,227,209,
2,201,2,194,42,194,42,201,
151,181,151,176,169,176,168,182,
123,181,123,176,143,176,143,182,
144,182,144,176,151,176,151,182,
106,180,106,174,122,174,122,181,
368,186,368,171,390,171,390,186,
338,187,338,170,366,170,366,187,
394,187,394,169,416,169,416,187,
192,185,192,167,223,168,223,186,
304,169,317,168,318,189,305,189,
319,168,334,166,336,189,321,190,
270,185,270,166,303,166,303,185,
243,165,266,165,266,185,243,185,
225,184,226,163,242,164,241,184,
93,169,94,154,171,157,170,171,
327,150,328,117,396,118,396,151,
203,143,204,113,258,115,258,144,
262,144,263,110,323,112,322,145,
297,94,297,81,328,81,328,94,
348,99,348,80,366,80,366,99,
367,96,367,79,393,79,393,96,
330,96,330,80,348,80,348,96,
260,93,261,79,286,80,285,94,
288,93,288,80,296,80,296,93,
231,92,231,77,259,77,258,93,
209,91,210,74,229,75,228,92,
