87,358,118,355,120,373,89,376,
124,353,158,350,159,370,125,372,
162,349,197,345,199,363,164,368,
201,345,247,339,249,357,203,362,
264,338,308,332,310,349,266,355,
314,332,347,329,348,345,316,348,
53,331,104,326,106,342,54,347,
352,326,387,322,389,340,354,344,
119,324,287,303,289,319,121,340,
289,303,411,287,413,303,291,320,
0,150,0,142,10,142,10,150,
388,146,388,138,464,142,463,150,
368,146,368,140,388,140,388,146,
349,138,366,138,366,146,349,146,
296,144,296,136,344,138,344,146,
256,143,256,135,294,136,294,144,
190,141,190,133,258,135,257,144,
162,140,162,131,184,132,183,141,
150,140,150,130,162,130,162,140,
130,140,130,128,148,128,148,140,
112,138,112,129,130,129,130,138,
89,138,89,128,100,128,100,138,
74,138,74,128,88,128,88,138,
100,138,100,128,112,128,112,138,
157,106,157,100,170,100,170,106,
144,106,144,98,156,98,156,106,
126,104,127,97,143,98,143,105,
108,104,108,98,125,98,125,104,
85,102,85,96,107,97,106,103,
94,90,95,78,164,84,163,96,
317,106,319,64,418,69,416,111,
192,100,192,56,305,56,305,100,
0,84,2,62,24,64,22,86,
406,51,406,32,448,33,448,52,
371,47,372,27,404,29,403,49,
348,47,349,29,370,30,369,48,
316,45,317,25,347,26,346,46,
296,45,296,26,314,26,314,45,
270,43,271,23,295,25,294,45,
221,41,222,22,269,24,268,43,
120,36,121,23,160,24,160,37,
164,22,185,22,185,38,164,38,
188,40,188,21,217,22,217,41,
75,33,77,18,116,21,115,36,
